"","x","xPortugues"
"1","id","id"
"2","url","link"
"3","region","regiao"
"4","region_url","regiao_link"
"5","price","preco"
"6","year","ano"
"7","manufacturer","fabricante"
"8","model","modelo"
"9","condition","condicao"
"10","cylinders","cilindro"
"11","fuel","combustivel"
"12","odometer","odometro"
"13","title_status","titulo_status"
"14","transmission","transmissao"
"15","vin","vin"
"16","drive","tracao"
"17","size","tamanho"
"18","type","tipo"
"19","paint_color","paint_cor"
"20","image_url","imagem_link"
"21","description","descricao"
"22","county","condado"
"23","state","estado"
"24","lat","latitude"
"25","long","longitude"
